timestamp,pressure,temperature,altitude,ASMaccelX,ASMaccelY,ASMaccelZ,ASMgyrX,ASMgyrY,ASMgyrZ,ICMaccelX,ICMaccelY,ICMaccelZ,ICMgyrX,ICMgyrY,ICMgyrZ,magX,magY,magZ,ICMtemp,lat,lon,altMSL,altEll,velN,velE,velD,epochTime,satellites,gpsLockType
2515,1001.4775,23.1200,98.4608,-0.0150,0.0090,1.0150,0.9100,-1.6100,-0.0700,-0.1437,-0.0479,9.9503,-0.0053,0.0032,0.0064,15.4500,27.9000,22.2000,26.5111,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2540,1001.4143,23.1300,98.9922,-0.0170,0.0090,1.0150,0.9800,-1.5400,-0.0700,-0.0814,-0.0431,9.7875,-0.0011,-0.0021,0.0128,17.2500,28.6500,21.9000,26.1277,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2565,1001.4348,23.1200,98.8198,-0.0140,0.0080,1.0170,0.9800,-1.4000,0.0000,-0.1245,0.0383,9.9072,-0.0053,-0.0043,0.0053,16.9500,27.1500,23.2500,26.3194,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2590,1001.4348,23.1200,98.8198,-0.0080,0.0090,1.0150,0.9100,-1.4000,-0.0700,-0.1341,0.0527,9.9838,0.0021,-0.0011,0.0085,16.6500,27.0000,22.0500,25.9840,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2615,1001.4766,23.1200,98.4690,-0.0060,0.0100,1.0160,1.0500,-1.4000,-0.0700,-0.1293,0.0670,9.8210,0.0000,0.0053,0.0032,16.5000,28.9500,21.9000,26.3674,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2640,1001.4766,23.1200,98.4690,-0.0040,0.0090,1.0160,0.9100,-1.4700,-0.1400,-0.1245,0.0527,9.8881,0.0011,0.0000,0.0043,16.9500,27.9000,22.2000,26.1277,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2665,1001.4106,23.1200,99.0229,-0.0070,0.0100,1.0160,0.9100,-1.4000,-0.1400,-0.1484,0.0000,9.9072,-0.0021,-0.0011,0.0032,17.4000,27.0000,21.3000,26.1277,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2690,1001.4446,23.1300,98.7378,-0.0080,0.0090,1.0150,0.9800,-1.4700,-0.1400,-0.0527,-0.0431,9.8689,-0.0085,0.0032,0.0074,17.8500,29.2500,22.3500,26.1757,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2715,1001.4446,23.1300,98.7378,-0.0130,0.0080,1.0160,0.9100,-1.4000,-0.1400,-0.1101,-0.0144,9.9886,-0.0043,0.0000,0.0021,16.3500,27.7500,22.8000,26.2715,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2740,1001.4446,23.1200,98.7378,-0.0130,0.0080,1.0160,0.9100,-1.5400,-0.1400,-0.1676,0.0096,9.9599,-0.0011,-0.0021,0.0032,16.3500,27.0000,22.0500,26.3674,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
